CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
LY,003,EL AL ISRAEL AIRLINES,2024-02-27T09:00:00,2024-02-27T09:16:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
AM,7885,AERO MEXICO,2024-02-27T09:00:00,2024-02-27T09:20:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,DEPARTED,המריאה
LY,323,EL AL ISRAEL AIRLINES,2024-02-27T09:00:00,2024-02-27T09:20:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,DEPARTED,המריאה
SK,3163,SAS,2024-02-27T09:00:00,2024-02-27T09:20:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,DEPARTED,המריאה
LY,5141,EL AL ISRAEL AIRLINES,2024-02-27T09:10:00,2024-02-27T09:22:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,78-99,D,DEPARTED,המריאה
AR,7879,AEROLINEAS ARGENTINAS S.A.,2024-02-27T09:10:00,2024-02-27T09:27:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
LY,383,EL AL ISRAEL AIRLINES,2024-02-27T09:10:00,2024-02-27T09:27:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
TP,8900,AIR PORTUGAL,2024-02-27T09:10:00,2024-02-27T09:27:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
6H,044,ISRAIR AIRLINES,2024-02-27T09:55:00,2024-02-27T09:34:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,LANDED,נחתה
AA,9261,AMERICAN AIRLINES,2024-02-27T09:15:00,2024-02-27T09:36:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,DEPARTED,המריאה
AM,7863,AERO MEXICO,2024-02-27T09:15:00,2024-02-27T09:36:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,DEPARTED,המריאה
LY,315,EL AL ISRAEL AIRLINES,2024-02-27T09:15:00,2024-02-27T09:36:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,DEPARTED,המריאה
SK,3181,SAS,2024-02-27T09:15:00,2024-02-27T09:36:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,DEPARTED,המריאה
